"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000008136",7,4,0,10,29,7
"ENSMUSG00000067579",88,47,50,52,53,44
"ENSMUSG00000066877",37,27,15,49,45,48
"ENSMUSG00000026051",1,0,0,0,1,1
"ENSMUSG00000057363",284,174,205,220,241,232
"ENSMUSG00000090243",124,83,81,195,252,188
"ENSMUSG00000088848",0,0,0,0,0,0
"ENSMUSG00000077132",0,0,0,0,0,0
"ENSMUSG00000041763",1112,637,934,748,801,847
"ENSMUSG00000047343",0,0,0,2,0,0
"ENSMUSG00000090106",2,1,0,2,3,2
"ENSMUSG00000091844",3,2,0,2,2,2
"ENSMUSG00000026049",94,80,109,63,84,79
"ENSMUSG00000026047",189,101,130,128,127,128
"ENSMUSG00000041684",377,197,329,225,255,308
"ENSMUSG00000026048",390,264,380,271,295,357
"ENSMUSG00000046828",0,0,0,0,0,0
"ENSMUSG00000089703",71,28,68,62,33,47
"ENSMUSG00000078019",0,0,0,0,0,0
"ENSMUSG00000056870",11,3,84,10,13,9
"ENSMUSG00000089877",43,22,37,29,20,35
"ENSMUSG00000026043",320,204,259,1357,1675,1206
"ENSMUSG00000026042",49,51,101,128,145,105
"ENSMUSG00000065010",0,0,0,0,0,0
"ENSMUSG00000065255",0,0,0,0,0,0
"ENSMUSG00000087764",0,0,0,0,0,0
"ENSMUSG00000025995",344,185,226,210,266,232
"ENSMUSG00000093391",0,0,0,0,0,0
"ENSMUSG00000084817",602,462,522,518,541,523
"ENSMUSG00000091090",30,22,22,14,14,17
"ENSMUSG00000025993",3193,2480,3249,3580,3146,4096
"ENSMUSG00000070896",116,75,109,81,74,87
"ENSMUSG00000090682",14,6,15,8,9,12
"ENSMUSG00000044457",0,0,0,0,0,0
"ENSMUSG00000041144",1,2,1,1,0,1
"ENSMUSG00000070199",0,1,0,0,1,0
"ENSMUSG00000078595",0,0,0,0,0,0
"ENSMUSG00000025986",160,74,80,202,164,182
"ENSMUSG00000081185",117,90,87,78,78,89
"ENSMUSG00000080510",0,0,0,0,0,0
"ENSMUSG00000088017",0,0,0,0,0,0
"ENSMUSG00000064943",0,0,1,0,0,0
"ENSMUSG00000092790",0,0,0,0,0,0
"ENSMUSG00000051616",0,0,0,0,0,0
"ENSMUSG00000084531",0,0,0,0,0,0
"ENSMUSG00000026109",16,17,49,0,0,0
"ENSMUSG00000092906",0,0,0,0,0,0
"ENSMUSG00000045954",462,358,459,504,544,567
"ENSMUSG00000026107",437,212,265,516,370,361
"ENSMUSG00000018417",7041,3960,6514,4423,4905,5624
"ENSMUSG00000072324",150,104,108,95,90,96
"ENSMUSG00000062939",9,6,6,10,6,14
"ENSMUSG00000078291",300,277,233,239,233,234
"ENSMUSG00000026104",1405,711,955,1271,1536,1041
"ENSMUSG00000026103",141,86,106,188,155,158
"ENSMUSG00000065192",0,0,0,0,0,0
"ENSMUSG00000002881",1841,1271,1636,1516,1352,1700
"ENSMUSG00000043015",14,4,16,14,18,13
"ENSMUSG00000041439",228,125,283,289,315,336
"ENSMUSG00000026102",128,92,171,110,121,143
"ENSMUSG00000041426",2459,1585,1834,1493,1679,1879
"ENSMUSG00000089802",0,0,0,0,0,0
"ENSMUSG00000043629",4,7,0,1,5,4
"ENSMUSG00000026100",0,0,0,0,0,0
"ENSMUSG00000089334",0,0,0,0,0,0
"ENSMUSG00000060715",0,0,0,0,0,0
"ENSMUSG00000026098",186,83,113,81,101,97
"ENSMUSG00000026097",737,449,632,420,474,512
"ENSMUSG00000026096",610,345,368,396,355,395
"ENSMUSG00000026095",1161,795,903,793,846,927
"ENSMUSG00000092657",0,0,0,0,0,0
"ENSMUSG00000067440",0,0,0,0,0,0
"ENSMUSG00000026094",174,130,150,184,152,166
"ENSMUSG00000042807",150,77,143,130,73,175
"ENSMUSG00000087949",0,0,0,0,0,0
"ENSMUSG00000064498",0,0,0,0,0,0
"ENSMUSG00000025983",1,0,2,1,2,0
"ENSMUSG00000041303",283,150,264,199,166,216
"ENSMUSG00000073678",142,98,117,100,154,130
"ENSMUSG00000070889",173,57,202,139,57,174
"ENSMUSG00000052331",131,72,117,120,107,165
