"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000025159",403.191386843296,-0.347527114198918,0.171905484678664,-2.02161737217714,0.0432158959506826,0.212788243574162,"Mms19"
"ENSMUSG00000025873",1149.78092931424,-0.239492634911929,0.11847818858727,-2.0214069591005,0.0432376549093479,0.212834899606327,"Faf2"
"ENSMUSG00000005262",642.444860948906,-0.279955957448514,0.138528387042009,-2.02092844236768,0.0432871731162991,0.212968333141262,"Ufd1l"
"ENSMUSG00000047904",15.4549810329245,0.730202526159874,0.361324076667166,2.02090747147332,0.043289344336788,0.212968333141262,"Sstr2"
"ENSMUSG00000091570",23.7281239030226,-0.632059528896657,0.31286092552033,-2.02025717288107,0.04335671865241,0.21323924612271,"Gm7707"
"ENSMUSG00000078439",17.494288464601,0.706106455947556,0.3495895714364,2.0198155598472,0.0434025225515375,0.213403946722614,"2210404O07Rik"
"ENSMUSG00000083390",66.6216158271342,-0.596399352146996,0.295387996157872,-2.01903719820844,0.0434833533872148,0.213668375922451,"Gm13121"
"ENSMUSG00000020424",26.9992610450784,0.609182690879136,0.301728138383477,2.01897872085402,0.0434894312410914,0.213668375922451,"Gatsl3"
"ENSMUSG00000033106",276.26300049071,-0.350105747592435,0.173410543475997,-2.01894152785985,0.0434932972746861,0.213668375922451,"Slc7a6os"
"ENSMUSG00000091994",7.08156714533698,0.762674226416333,0.377867742019402,2.01836288628515,0.0435534816978623,0.213900088010212,"E130317F20Rik"
"ENSMUSG00000025138",620.188830186038,-0.314708056507031,0.155931098619387,-2.01825074852582,0.0435651532630022,0.213900088010212,"Sirt7"
"ENSMUSG00000019868",217.096883320576,0.343441422846241,0.170185333231667,2.01804360178751,0.043586720536835,0.21394146324855,"Vta1"
"ENSMUSG00000022043",95.9452721299621,0.431755292084789,0.213959216796694,2.01793266281699,0.0435982747579286,0.21394146324855,"Trim35"
"ENSMUSG00000021203",56.4095091256069,0.501668259421622,0.248627403782916,2.01775126872033,0.0436171724073681,0.21397359748088,"Otub2"
"ENSMUSG00000002028",504.817927980627,-0.408900121565263,0.202704864717634,-2.01721908418359,0.0436726553574465,0.214185139931638,"Mll1"
"ENSMUSG00000059436",341.795298363074,0.284520217146288,0.14109199743196,2.01655814876031,0.0437416442143331,0.21446278135307,"Max"
"ENSMUSG00000038179",21.0977208317386,0.662508502057592,0.328669702686066,2.01572732942287,0.0438284961978393,0.214827822806212,"Slamf7"
"ENSMUSG00000038132",2.20676201362736,0.65823696879515,0.326600587008648,2.01541881728988,0.0438607844167478,NA,"Rbm24"
"ENSMUSG00000057572",265.147365474042,-0.332387536732499,0.164972213465584,-2.01480921998929,0.0439246426178114,0.215231012964099,"Zbtb8os"
"ENSMUSG00000027804",400.337849782044,-0.293425042477274,0.145649831810368,-2.01459238799058,0.0439473757139594,0.215231012964099,"Ppid"
"ENSMUSG00000021418",128.684882666889,-0.46243330747532,0.229542570579322,-2.01458625434152,0.0439480189223168,0.215231012964099,"Rpp40"
"ENSMUSG00000072812",7.03147031623703,0.760625718230924,0.377614935800811,2.01428928285863,0.0439791705037975,0.215269181983966,"Ahnak2"
"ENSMUSG00000080718",31.0927715687972,-0.603876905800676,0.299798627730261,-2.0142750831535,0.0439806604849796,0.215269181983966,"Gm8019"
"ENSMUSG00000021714",21.3029653268087,0.647925378325144,0.321724400682638,2.01391432216633,0.0440185295889868,0.215393691665737,"Cenpk"
"ENSMUSG00000026285",2.11446949866924,0.647770954185923,0.321728274835669,2.01341008811485,0.0440715051921367,NA,"Pdcd1"
"ENSMUSG00000005779",2675.11336175284,-0.264797545310244,0.131517487350465,-2.01340179655817,0.0440723767653859,0.215563020248407,"Psmb4"
"ENSMUSG00000031987",718.910742228195,0.2563411639892,0.127320832988565,2.01334815341824,0.0440780158561844,0.215563020248407,"Egln1"
"ENSMUSG00000034361",206.093630615533,0.340132075836843,0.168962834795981,2.01305852998706,0.0441084722630019,0.215651100141375,"Cpne2"
"ENSMUSG00000030711",4036.20654518497,-0.26452681393223,0.131468222200547,-2.01209698818859,0.0442097141103681,0.21605239576838,"Sult1a1"
"ENSMUSG00000043885",186.22919551663,0.407383279448674,0.202484145889739,2.01192679880483,0.0442276539615336,0.21605239576838,"Slc36a4"
"ENSMUSG00000039031",363.923301543525,0.298023897872317,0.148128812046143,2.01192390430756,0.044227959126822,0.21605239576838,"Arhgap18"
"ENSMUSG00000030815",342.663168966186,-0.334976505079307,0.166527887607207,-2.01153398324143,0.0442690845426002,0.216192341564158,"Phkg2"
"ENSMUSG00000076999",60.8575804570313,-0.499960800584551,0.248573390990587,-2.01132067512199,0.0442915960449337,0.216241331268122,""
"ENSMUSG00000042216",53.1715263008345,0.607883106364763,0.302276289689933,2.01101815490825,0.0443235391242818,0.216282294863051,"Sgsm1"
"ENSMUSG00000021210",25464.6973210351,-0.293429382974761,0.14591915933663,-2.01090373812962,0.0443356254465164,0.216282294863051,"Akr1c6"
"ENSMUSG00000036138",6976.27219896932,0.313626475039576,0.155964275338397,2.01088662361363,0.0443374335634302,0.216282294863051,"Acaa1a"
"ENSMUSG00000019775",2.14978828579118,0.638105269003185,0.317546084582816,2.00948870095977,0.0444853317740606,NA,"Rgs17"
"ENSMUSG00000084788",11.1713271981588,-0.745466987047269,0.371047039928672,-2.00909024147066,0.0445275643731253,0.217032593050739,"Gm11342"
"ENSMUSG00000028906",1986.57231131985,-0.287478035212819,0.143100217549058,-2.00892800959065,0.0445447689679193,0.217032593050739,"Epb4.1"
"ENSMUSG00000091825",342.383419862362,-0.330123331589398,0.16433049473742,-2.00889878726949,0.0445478685737965,0.217032593050739,"Gm5778"
"ENSMUSG00000080859",954.477633776963,-0.256965601770598,0.127916881296505,-2.00884823931068,0.0445532306154946,0.217032593050739,"Rpl10-ps1"
"ENSMUSG00000022074",11.3534636969221,0.752127204839976,0.374422154397512,2.00876790009991,0.0445617539831117,0.217032593050739,"Tnfrsf10b"
"ENSMUSG00000002204",9.15659248241658,0.756838977770217,0.376782748316214,2.00868798041423,0.044570234207248,0.217032593050739,"Napsa"
"ENSMUSG00000071347",13.2987255416884,0.73844409411831,0.367640071882492,2.00860610851566,0.0445789229911456,0.217032593050739,"C1qtnf9"
"ENSMUSG00000034390",848.912219069374,0.312247051745794,0.155495911300352,2.00807242540716,0.0446355959743667,0.217227365180014,"4933407C03Rik"
"ENSMUSG00000021751",4417.82059963871,-0.258107323869458,0.128539932680707,-2.00799330205498,0.0446440034285237,0.217227365180014,"Acox2"
"ENSMUSG00000073844",253.924029893441,-0.364782353323258,0.181702119446432,-2.00758447086139,0.0446874661200229,0.217377800522638,"Gm6252"
"ENSMUSG00000028990",142.692786515952,0.416645182881087,0.207548362452406,2.00746070919557,0.0447006302122993,0.217380808220182,"Lzic"
"ENSMUSG00000086880",7.64435899823494,0.756492304985069,0.376885955755668,2.00721808131131,0.0447264471779737,0.217423649688094,"C430042M11Rik"
"ENSMUSG00000036678",185.753897582179,0.371017263211836,0.184848529772641,2.00714208367347,0.0447345363385499,0.217423649688094,"Aaas"
"ENSMUSG00000058427",3.66305401822989,0.72990280561754,0.363799687529565,2.00633159026071,0.0448208817425174,0.217782226010264,"Cxcl2"
"ENSMUSG00000025885",634.923057750009,0.284671341211229,0.14189916000556,2.00615240569482,0.0448399900185844,0.217813991323805,"Myo5b"
"ENSMUSG00000021662",1.4686633019024,0.581508166742711,0.289911867416372,2.00581015163325,0.0448765071516055,NA,"Rgnef"
"ENSMUSG00000073640",244.050697003178,-0.332088089506707,0.165578085001324,-2.00562827806622,0.0448959225333658,0.218024565508865,"Rpl27-ps3"
"ENSMUSG00000079993",9.55784238776804,-0.753239158447433,0.375587963933498,-2.00549333519325,0.0449103325433196,0.218033435690137,"Gm11799"
"ENSMUSG00000047881",258.106843459614,0.30688135191778,0.153118009348451,2.00421461344504,0.0450470758299251,0.218636045631684,"Rell1"
"ENSMUSG00000034487",196.515317829346,0.382702077894457,0.191027926833381,2.00338287829642,0.0451362078004606,0.219007301192546,"Kdelc2"
"ENSMUSG00000049124",117.327739871074,-0.415788338482201,0.207558031823619,-2.00323897287451,0.0451516443432852,0.219020868291182,"Gm8186"
"ENSMUSG00000028607",3088.89366839547,-0.246941755469134,0.123281540632521,-2.00307162128368,0.0451696015228793,0.219046651437708,"Cpt2"
"ENSMUSG00000036057",424.274579974109,0.291704843201696,0.145651663345769,2.00275669018077,0.0452034106228505,0.219149271366013,"Ptpn23"
"ENSMUSG00000056121",722.804117458683,0.251985447042895,0.125850352228763,2.00226254897445,0.0452565016327506,0.219345287773614,"Fez2"
