entrez_id,control_FFa1.bam,control_FFa2.bam,control_FFa3.bam,mutant_KOa1.bam,mutant_KOa2.bam,mutant_KOa3.bam,mutant_KOb1.bam,mutant_KOb2.bam,mutant_KOb3.bam
15926,296,128,262,75,190,161,272,407,281
18711,446,164,657,408,420,424,1026,1033,974
213527,4,0,6,79,0,13,22,14,5
12969,0,0,0,9,0,0,2,16,0
17756,28,0,24,49,0,10,13,42,27
100038569,0,0,0,4,8,0,6,0,1
329178,37,8,44,168,16,65,68,34,43
66646,527,140,543,207,472,355,726,1077,758
68691,338,66,456,136,141,75,295,410,259
11363,1367,583,2129,729,1147,1208,2287,2339,1861
17901,3,0,2,42,6,7,3,0,1
14768,162,112,170,146,131,171,312,369,318
227231,7,0,3,67,10,33,15,0,12
13869,13,6,6,33,3,16,16,32,8
100502712,13,0,0,0,0,4,2,0,0
22779,74,21,44,150,24,74,142,154,176
66722,7,0,1,42,0,12,9,23,0
320460,9,0,10,47,0,4,12,29,0
12021,2575,1312,2985,3391,2722,3187,5629,4917,3471
74591,37,7,9,125,0,4,24,17,9
108147,167,169,267,242,275,113,698,928,826
14268,3205,1810,4879,167,78,75,99,134,36
667931,0,0,0,0,0,1,0,0,0
433319,2,1,0,4,0,0,0,0,0
381269,34,8,1,47,6,10,49,19,3
111175,25,8,69,27,38,76,197,106,121
271711,1,4,0,34,4,0,19,1,6
22596,127,64,231,173,157,129,658,789,721
381270,58,82,37,128,31,92,69,58,80
54380,121,90,111,194,136,103,263,188,197
319695,10,12,10,41,8,5,28,29,4
19981,9576,12845,13598,8889,14716,15870,25417,28028,23669
16008,8,15,15,22,6,10,3,16,8
16011,46,19,13,135,16,94,10,1,16
21958,0,0,0,29,0,3,0,0,4
69449,0,0,0,7,0,0,7,0,0
723792,9,0,1,1,0,1,14,15,7
109198,0,0,10,22,0,9,10,3,0
21961,1275,1326,2075,2156,2845,2413,3654,5015,3253
435626,14,23,12,56,30,20,69,62,47
12765,953,1058,1352,2000,1501,1301,2212,2742,1697
227288,11,4,16,7,0,10,3,0,1
76709,1199,443,1220,569,943,727,1678,2159,1596
227289,2,0,0,45,0,10,11,12,3
227290,563,526,685,586,644,735,1261,1575,1199
56695,404,341,445,375,419,479,767,827,718
69660,59,66,81,137,134,135,249,230,224
241112,12,0,5,48,16,22,25,4,10
18173,162,116,141,137,95,63,111,180,77
227292,2106,1900,2651,1684,2269,2439,3592,3786,3023
387219,0,6,1,5,0,4,6,0,4
22349,16,11,18,70,42,35,42,23,15
319651,1079,480,1345,819,1065,1172,1796,2413,1579
58184,348,315,558,491,412,327,826,1050,738
18802,34,4,1,21,8,14,44,24,2
77264,595,419,804,626,480,422,821,833,475
66821,49,71,143,85,87,94,304,357,313
